regime,time,A_d,A_p,A_c
productive_activation,0,0.8498570229564335,0.5976828710185772,0.11306570235362035
productive_activation,1,0.8814256922530298,0.7142713038996571,0.09774429898156715
productive_activation,2,0.898473886722998,0.6507867896180564,0.13551056651653715
productive_activation,3,0.9095849944653736,0.655139413506676,0.09615195816561048
productive_activation,4,0.924303439320663,0.672381280069804,0.23537070062012258
productive_activation,5,0.9070691113408023,0.7424380771355743,0.09422460856876992
productive_activation,6,0.9033611498967501,0.7897348542659557,0.06779905735285445
productive_activation,7,0.9222338864186682,0.804132688141802,0.09825576199909958
productive_activation,8,0.8806763528094635,0.857211589417868,0.19953237536777282
productive_activation,9,0.8635646282370742,0.9157455287545625,0.18863596760327495
productive_activation,10,0.8462831650196841,0.8834049626695385,0.1513912142334282
productive_activation,11,0.7605922270308979,0.8913916241967477,0.05180316344922303
productive_activation,12,0.6504032678989937,0.8741814372320729,0.11975265249416063
productive_activation,13,0.5341376332872312,0.8315843603969013,0.03748534326292722
productive_activation,14,0.41598491934563414,0.8054683927832407,0.21776736618089912
productive_activation,15,0.3052470912541508,0.7757789804754941,0.31840315160437627
productive_activation,16,0.2712941510225769,0.775305499202027,0.374417641520245
productive_activation,17,0.30891220204481223,0.8106788068731456,0.4271722855096026
productive_activation,18,0.304141240185864,0.8447084782759897,0.49264807918991066
productive_activation,19,0.2600187691172633,0.851146167671334,0.627721986747449
productive_activation,20,0.362683351088134,0.8661234119868475,0.6338079370761793
productive_activation,21,0.39185413859786583,0.8908245056875047,0.7054426162521252
productive_activation,22,0.41986088796567633,0.8772654466645567,0.6975634624270237
productive_activation,23,0.38675215909584804,0.85459659708784,0.672395553564644
productive_activation,24,0.42933170439648677,0.8172905265451222,0.6371966814706943
productive_activation,25,0.3837771140639037,0.8245748057308737,0.666692012566645
productive_activation,26,0.5080475894300821,0.8214105496397756,0.6057115209599984
productive_activation,27,0.4922431524082547,0.7170407692983797,0.7450949072508728
productive_activation,28,0.437538157417997,0.732219861250655,0.8148054093107616
productive_activation,29,0.48144297301107747,0.7181240610422658,0.8080800749536199
checkpoint_suppression,0,0.7809844706674672,0.048645524005042524,0.2929009264349774
checkpoint_suppression,1,0.7925393728882488,-0.036490871492957384,-0.11467777926174333
checkpoint_suppression,2,0.803190895999735,0.0620908134496257,0.033785549545583986
checkpoint_suppression,3,0.8166091392752832,0.03973694618316214,0.05944263370497389
checkpoint_suppression,4,0.8143969121241678,0.1878351524110199,0.013535066357413595
checkpoint_suppression,5,0.8187946426773808,0.25580439571856356,0.03128666779461959
checkpoint_suppression,6,0.7875516007306437,0.24139828799922253,0.13010074313629436
checkpoint_suppression,7,0.8229524112032538,0.16902089417821245,-0.0548393653944897
checkpoint_suppression,8,0.8380236214800362,0.06094975681962506,0.050865976239031385
checkpoint_suppression,9,0.82691933482717,0.10986394865606508,-0.1758901936485928
checkpoint_suppression,10,0.8054644123723986,0.011240808050505176,-0.13593495050840665
checkpoint_suppression,11,0.7780369296498879,-0.07835079070561805,0.20417056755449517
checkpoint_suppression,12,0.7219172197905307,0.2646058537918279,0.161883726932733
checkpoint_suppression,13,0.7322606173541892,0.2119156887488028,-0.07218063004719946
checkpoint_suppression,14,0.7152193657049658,0.2417505412459396,-0.10601415027108142
checkpoint_suppression,15,0.677077828086472,0.2431360744696789,0.053155424910258445
checkpoint_suppression,16,0.5992575348912242,0.3097443934659008,-0.2604960879990381
checkpoint_suppression,17,0.5016055637817197,0.09601303547321051,-0.29663840332670754
checkpoint_suppression,18,0.5962230375503564,0.1734974108180779,-0.03396087260481367
checkpoint_suppression,19,0.5118920660334874,0.23799040648146372,-0.521105542836342
checkpoint_suppression,20,0.5914762686974523,0.03168614092976444,-0.019398548029665796
checkpoint_suppression,21,0.5232846621687619,0.19399442713966195,-0.20203799633188033
checkpoint_suppression,22,0.614174770255206,0.007238764545089219,-0.010981438226694425
checkpoint_suppression,23,0.5285964047476662,0.12031718981434898,-0.30150339871405113
checkpoint_suppression,24,0.5319349078405443,0.24631795093002942,0.08353211280909903
checkpoint_suppression,25,0.541976369465732,0.20375314569148284,0.1771459059719314
checkpoint_suppression,26,0.5021755689010033,0.0004608459676580719,-0.007338442154528976
checkpoint_suppression,27,0.592990462462831,0.07858304304362791,-0.1549259934012873
checkpoint_suppression,28,0.5869417141625733,0.04882004697026125,0.06016850235504733
checkpoint_suppression,29,0.516803034739101,-0.04512631215893259,-0.09222532947545688
unstable_engagement,0,-0.014144907363359403,-0.044107518269000834,0.1980823782439955
unstable_engagement,1,0.18298245796096158,0.020349330059272194,0.23300828915050162
unstable_engagement,2,-0.10938084416778573,0.1338171448643338,-0.11248742505345387
unstable_engagement,3,0.5226418557741419,0.8253986559636838,0.1603285886534562
unstable_engagement,4,0.5459284170065324,0.8648057267724771,0.1992848068350684
unstable_engagement,5,-0.0130047005460085,-0.100619240977515,0.12234520684774419
unstable_engagement,6,0.7424579661164424,0.8957731580543353,0.7218472442182028
unstable_engagement,7,-0.14058420399370536,-0.045677088084867846,-0.007449021254261831
unstable_engagement,8,0.7439329206524438,0.27377008043479767,0.25572244725333126
unstable_engagement,9,0.2640697518168288,0.08166345068719719,-0.14283799619044787
unstable_engagement,10,0.3127633562397391,0.7673636525585735,0.4084911615828989
unstable_engagement,11,0.3277309524976211,0.0854228347518298,0.7449633013408068
unstable_engagement,12,0.8621177899372274,0.9097671485001275,0.5517400744103382
unstable_engagement,13,-0.07780222734388095,-0.02722044671812504,0.05328793249328993
unstable_engagement,14,0.15586499627668468,-0.13686345653587803,-0.1495543046656715
unstable_engagement,15,-0.09944070568292267,-0.02438206524947451,-0.10391823900853835
unstable_engagement,16,-0.1998979451589018,-0.041581581503449136,0.19227479839616965
unstable_engagement,17,-0.02127024906552726,-0.00025660368882675735,0.31650887116509074
unstable_engagement,18,0.8467900001001529,0.19407574903614613,0.540703863856186
unstable_engagement,19,0.10895759400299258,-0.02576117084813468,-0.2957542073177828
unstable_engagement,20,-0.09782617631259218,-0.07764044384115013,-0.29528878772221107
unstable_engagement,21,0.1062076529192739,0.09763767238983517,0.2374749293690554
unstable_engagement,22,0.0871373547021842,0.023134698309985522,0.04668253197255501
unstable_engagement,23,0.048175544577193696,-0.0010541744429259838,-0.09190728868941134
unstable_engagement,24,0.17767575729369262,0.06773640113395736,0.007541277968998777
unstable_engagement,25,0.8851030039513514,0.35158318801728705,0.2254154658319044
unstable_engagement,26,-0.1312464355332368,-0.01330079295988066,0.22702562871313572
unstable_engagement,27,-0.01118640565699794,-0.04738393965464802,0.1624206077450295
unstable_engagement,28,0.11649148700774399,-0.13402624063808233,-0.06428132605531833
unstable_engagement,29,0.12776823213635802,-0.05958092980204237,-0.030851919270039607
assembly_failure,0,0.0476674936115988,-0.217633583558757,0.32013638899618313
assembly_failure,1,0.05766456315160672,-0.11606855995839037,-0.17630254426669884
assembly_failure,2,0.043480609792711206,-0.11240375773250358,-0.30671475655030017
assembly_failure,3,-0.05063316082789217,0.07847278340001915,0.14592846230668652
assembly_failure,4,-0.05937647573451453,0.19782703065540805,0.0003957364882435596
assembly_failure,5,0.14579337298668793,0.19591320713596722,-0.19986582698455596
assembly_failure,6,0.15767881748745718,-0.03804982164866527,0.20371597382045303
assembly_failure,7,0.06820494363389193,0.13048359213326763,-0.10149240130669919
assembly_failure,8,-0.08053050019882298,0.07038361115760995,-0.23924083085089112
assembly_failure,9,-0.1601034824511298,0.13548810075965265,-0.2767167223912398
assembly_failure,10,0.025500991839338998,-0.054608528408120305,0.15584421424891606
assembly_failure,11,-0.011361125508032428,-0.04817670377732437,0.2794456777353924
assembly_failure,12,-0.0060375932553817565,0.18454583316223663,0.06118437822079141
assembly_failure,13,0.0017406654414991929,0.07116192508277527,-0.06987614685452599
assembly_failure,14,0.1433969692343505,0.016994513957010862,-0.03349574999302523
assembly_failure,15,0.019425195667168754,0.13336546171519453,-0.1901942134764253
assembly_failure,16,-0.03426832130653302,0.31215586178427607,0.2734913827716568
assembly_failure,17,-0.11976009168948906,-0.016177995572446705,-0.11541425117119496
assembly_failure,18,-0.026092601413824478,0.09397502381938025,-0.17804600411270471
assembly_failure,19,-0.05415241139498506,0.04550119882240999,-0.052117774196411885
assembly_failure,20,-0.010838014688452156,0.12422801721892397,0.16361379616594057
assembly_failure,21,0.07573315000144357,0.010759956053215313,0.028151829878664564
assembly_failure,22,0.0779917105374345,0.18520396861046157,0.5201049658559568
assembly_failure,23,-0.028102972701779798,-0.19987610181986468,0.1965318089625547
assembly_failure,24,0.007920278633154225,0.13456304101638195,-0.11801097864404633
assembly_failure,25,0.1079763429128805,0.08581380751307813,-0.495465997584246
assembly_failure,26,-0.02320003355429212,-0.004074612217087282,-0.19863910053003975
assembly_failure,27,0.046758738117801964,0.16366906718469315,-0.33696361954000964
assembly_failure,28,-0.08122904856934358,-0.08231016965117949,-0.040228623963239195
assembly_failure,29,-0.15937691154087724,0.055959842827346964,0.2681202692118165
